date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:48	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263e42447-154%22	https://www.classcentral.com/robots.txt		(from )
21:05:49	664327/664327	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:05:49%20GMT	https://www.classcentral.com/	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/index.html	(from )
21:05:50	9463/9463	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	E:/Coding/scrape%20a%20website/the%20website/classcentral2/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
21:05:50	2206/2206	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Feb%202023%2022:40:03%20GMT	https://www.classcentral.com/apple-touch-icon.png	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
21:05:50	975/975	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/favicon-32x32.png	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
21:05:50	731/731	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/favicon-16x16.png	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
21:05:51	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263e424c4-2a1%22	https://www.classcentral.com/site.webmanifest	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
21:05:51	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263e424c4-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
21:05:51	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263e424c4-391%22	https://www.classcentral.com/opensearch.xml	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
21:05:51	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
21:05:52	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
21:05:52	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
21:05:52	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
21:05:52	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
21:05:53	15280/15280	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
21:05:53	6868/6868	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
21:05:53	9684/9684	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
21:05:53	7376/7376	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
21:05:53	8444/8444	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
21:05:54	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
